x=(0.152045,1.397949 ), f(x)=7.763393
x=(-1.889047,-0.346773 ), f(x)=2.911422
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.426578,0.654176 ), f(x)=0.340041
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.785795,0.870893 ), f(x)=-0.077993
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.682734,0.819237 ), f(x)=-0.204820
x=(-1.677838,0.807539 ), f(x)=-0.207652
x=(-1.677838,0.807539 ), f(x)=-0.207652
x=(-1.677838,0.807539 ), f(x)=-0.207652
x=(-1.677838,0.807539 ), f(x)=-0.207652
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.684814,0.794915 ), f(x)=-0.212221
x=(-1.707235,0.805897 ), f(x)=-0.214281
x=(-1.697887,0.791939 ), f(x)=-0.214987
x=(-1.697887,0.791939 ), f(x)=-0.214987
x=(-1.697887,0.791939 ), f(x)=-0.214987
x=(-1.697887,0.791939 ), f(x)=-0.214987
x=(-1.697887,0.791939 ), f(x)=-0.214987
x=(-1.698614,0.800260 ), f(x)=-0.215011
x=(-1.698614,0.800260 ), f(x)=-0.215011
x=(-1.698614,0.800260 ), f(x)=-0.215011
x=(-1.699675,0.795635 ), f(x)=-0.215317
x=(-1.699675,0.795635 ), f(x)=-0.215317
x=(-1.699675,0.795635 ), f(x)=-0.215317
x=(-1.699675,0.795635 ), f(x)=-0.215317
x=(-1.699675,0.795635 ), f(x)=-0.215317
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.705476,0.794104 ), f(x)=-0.215383
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.702127,0.797791 ), f(x)=-0.215408
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703155,0.798181 ), f(x)=-0.215412
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703971,0.796118 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703837,0.796227 ), f(x)=-0.215463
x=(-1.703705,0.796204 ), f(x)=-0.215464
x=(-1.703484,0.796043 ), f(x)=-0.215464
x=(-1.703484,0.796043 ), f(x)=-0.215464
x=(-1.703484,0.796043 ), f(x)=-0.215464
x=(-1.703484,0.796043 ), f(x)=-0.215464
x=(-1.703517,0.796092 ), f(x)=-0.215464
x=(-1.703517,0.796092 ), f(x)=-0.215464
x=(-1.703517,0.796092 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703553,0.796139 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703605,0.796025 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703582,0.796046 ), f(x)=-0.215464
x=(-1.703571,0.796104 ), f(x)=-0.215464
x=(-1.703571,0.796104 ), f(x)=-0.215464
x=(-1.703641,0.796075 ), f(x)=-0.215464
x=(-1.703641,0.796075 ), f(x)=-0.215464
x=(-1.703641,0.796075 ), f(x)=-0.215464
x=(-1.703641,0.796075 ), f(x)=-0.215464
x=(-1.703641,0.796075 ), f(x)=-0.215464
x=(-1.703640,0.796083 ), f(x)=-0.215464
x=(-1.703640,0.796083 ), f(x)=-0.215464
x=(-1.703640,0.796083 ), f(x)=-0.215464
x=(-1.703590,0.796083 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703606,0.796075 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703600,0.796082 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703613,0.796086 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796082 ), f(x)=-0.215464
x=(-1.703610,0.796083 ), f(x)=-0.215464
x=(-1.703610,0.796083 ), f(x)=-0.215464
x=(-1.703610,0.796083 ), f(x)=-0.215464
x=(-1.703610,0.796083 ), f(x)=-0.215464
x=(-1.703609,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796083 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
x=(-1.703607,0.796084 ), f(x)=-0.215464
