x=(2.269567,0.133052 ), f(x)=10.673761
x=(1.901245,0.313293 ), f(x)=3.005009
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(0.428992,0.566318 ), f(x)=0.038607
x=(-0.260188,0.588530 ), f(x)=-0.797448
x=(-0.260188,0.588530 ), f(x)=-0.797448
x=(-0.260188,0.588530 ), f(x)=-0.797448
x=(-0.260188,0.588530 ), f(x)=-0.797448
x=(-0.260188,0.588530 ), f(x)=-0.797448
x=(-0.288093,0.654085 ), f(x)=-0.849887
x=(-0.288093,0.654085 ), f(x)=-0.849887
x=(-0.288093,0.654085 ), f(x)=-0.849887
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.046609,0.639234 ), f(x)=-0.987713
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.001636,0.673100 ), f(x)=-0.992278
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.043644,0.700419 ), f(x)=-1.022603
x=(-0.042723,0.715661 ), f(x)=-1.022689
x=(-0.042723,0.715661 ), f(x)=-1.022689
x=(-0.042723,0.715661 ), f(x)=-1.022689
x=(-0.042723,0.715661 ), f(x)=-1.022689
x=(-0.081365,0.743325 ), f(x)=-1.023053
x=(-0.081365,0.743325 ), f(x)=-1.023053
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.060217,0.707913 ), f(x)=-1.028146
x=(-0.066253,0.707397 ), f(x)=-1.029349
x=(-0.076747,0.715732 ), f(x)=-1.030840
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.083229,0.711033 ), f(x)=-1.031447
x=(-0.088646,0.711642 ), f(x)=-1.031616
x=(-0.088646,0.711642 ), f(x)=-1.031616
x=(-0.088646,0.711642 ), f(x)=-1.031616
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089916,0.712091 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089113,0.712811 ), f(x)=-1.031626
x=(-0.089750,0.712960 ), f(x)=-1.031628
x=(-0.089750,0.712960 ), f(x)=-1.031628
x=(-0.089750,0.712960 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089896,0.712785 ), f(x)=-1.031628
x=(-0.089942,0.712762 ), f(x)=-1.031628
x=(-0.089942,0.712762 ), f(x)=-1.031628
x=(-0.089972,0.712669 ), f(x)=-1.031628
x=(-0.089972,0.712669 ), f(x)=-1.031628
x=(-0.089953,0.712624 ), f(x)=-1.031628
x=(-0.089953,0.712624 ), f(x)=-1.031628
x=(-0.089953,0.712624 ), f(x)=-1.031628
x=(-0.089949,0.712666 ), f(x)=-1.031628
x=(-0.089949,0.712666 ), f(x)=-1.031628
x=(-0.089913,0.712667 ), f(x)=-1.031628
x=(-0.089913,0.712667 ), f(x)=-1.031628
x=(-0.089913,0.712667 ), f(x)=-1.031628
x=(-0.089900,0.712670 ), f(x)=-1.031628
x=(-0.089900,0.712670 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712680 ), f(x)=-1.031628
x=(-0.089881,0.712654 ), f(x)=-1.031628
x=(-0.089881,0.712654 ), f(x)=-1.031628
x=(-0.089881,0.712654 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089860,0.712656 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089827,0.712662 ), f(x)=-1.031628
x=(-0.089843,0.712652 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
x=(-0.089843,0.712655 ), f(x)=-1.031628
