x=(-2.143379,-1.794147 ), f(x)=38.791395
x=(-1.203391,-1.458745 ), f(x)=13.757074
x=(-1.203391,-1.458745 ), f(x)=13.757074
x=(-1.530919,0.210857 ), f(x)=1.638162
x=(-1.530919,0.210857 ), f(x)=1.638162
x=(-1.530919,0.210857 ), f(x)=1.638162
x=(-1.530919,0.210857 ), f(x)=1.638162
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(0.196843,-0.879879 ), f(x)=-0.720630
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(-0.044614,-0.708435 ), f(x)=-0.960427
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.173850,-0.693697 ), f(x)=-1.000202
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.054430,-0.691158 ), f(x)=-1.023798
x=(0.061331,-0.698309 ), f(x)=-1.027200
x=(0.061538,-0.708190 ), f(x)=-1.028454
x=(0.070082,-0.715186 ), f(x)=-1.029998
x=(0.069605,-0.712117 ), f(x)=-1.030034
x=(0.069605,-0.712117 ), f(x)=-1.030034
x=(0.076347,-0.708691 ), f(x)=-1.030842
x=(0.076347,-0.708691 ), f(x)=-1.030842
x=(0.076347,-0.708691 ), f(x)=-1.030842
x=(0.076347,-0.708691 ), f(x)=-1.030842
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.085453,-0.713788 ), f(x)=-1.031538
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089428,-0.714561 ), f(x)=-1.031597
x=(0.089887,-0.712114 ), f(x)=-1.031626
x=(0.089887,-0.712114 ), f(x)=-1.031626
x=(0.089887,-0.712114 ), f(x)=-1.031626
x=(0.089887,-0.712114 ), f(x)=-1.031626
x=(0.090228,-0.712903 ), f(x)=-1.031627
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.089493,-0.712504 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.090124,-0.712586 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089637,-0.712597 ), f(x)=-1.031628
x=(0.089692,-0.712594 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089806,-0.712695 ), f(x)=-1.031628
x=(0.089866,-0.712628 ), f(x)=-1.031628
x=(0.089852,-0.712648 ), f(x)=-1.031628
x=(0.089852,-0.712648 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089836,-0.712649 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089837,-0.712650 ), f(x)=-1.031628
x=(0.089832,-0.712656 ), f(x)=-1.031628
x=(0.089832,-0.712656 ), f(x)=-1.031628
