x=(-2.707714,-0.778692 ), f(x)=48.966879
x=(2.308204,0.166495 ), f(x)=12.388997
x=(1.991883,-1.069632 ), f(x)=2.160575
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.391865,-0.337104 ), f(x)=0.295121
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.392941,0.763048 ), f(x)=-0.704006
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.106853,0.575746 ), f(x)=-0.902532
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085164,0.686034 ), f(x)=-1.026077
x=(-0.085038,0.686209 ), f(x)=-1.026147
x=(-0.085038,0.686209 ), f(x)=-1.026147
x=(-0.085038,0.686209 ), f(x)=-1.026147
x=(-0.096801,0.689492 ), f(x)=-1.027025
x=(-0.096801,0.689492 ), f(x)=-1.027025
x=(-0.083990,0.702402 ), f(x)=-1.030706
x=(-0.083990,0.702402 ), f(x)=-1.030706
x=(-0.102848,0.710598 ), f(x)=-1.030909
x=(-0.102848,0.710598 ), f(x)=-1.030909
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.100388,0.709771 ), f(x)=-1.031097
x=(-0.088064,0.708701 ), f(x)=-1.031496
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.087823,0.713754 ), f(x)=-1.031600
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
x=(-0.090366,0.714263 ), f(x)=-1.031607
