x=(1.918400,-1.566446 ), f(x)=14.157052
x=(0.549504,-0.309373 ), f(x)=0.509318
x=(0.549504,-0.309373 ), f(x)=0.509318
x=(0.549504,-0.309373 ), f(x)=0.509318
x=(0.549504,-0.309373 ), f(x)=0.509318
x=(0.549504,-0.309373 ), f(x)=0.509318
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.333707,0.740565 ), f(x)=-0.817889
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
x=(-0.028373,0.776977 ), f(x)=-0.975817
