x=(-2.548713,-1.534159 ), f(x)=45.393935
x=(-1.845171,-0.302553 ), f(x)=2.656945
x=(0.529043,0.109857 ), f(x)=0.972774
x=(0.529043,0.109857 ), f(x)=0.972774
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.014167,-0.440272 ), f(x)=-0.618024
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
x=(-0.063647,-0.688862 ), f(x)=-0.937391
