x=(-1.369782,-0.371322 ), f(x)=2.347138
x=(-0.038709,1.189333 ), f(x)=2.305294
x=(-0.038709,1.189333 ), f(x)=2.305294
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(-0.025951,0.950197 ), f(x)=-0.372732
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(0.224947,0.787193 ), f(x)=-0.568567
x=(-0.046605,0.633958 ), f(x)=-0.982375
x=(-0.046605,0.633958 ), f(x)=-0.982375
x=(-0.046605,0.633958 ), f(x)=-0.982375
x=(-0.046605,0.633958 ), f(x)=-0.982375
x=(-0.163737,0.737460 ), f(x)=-1.007323
x=(-0.163737,0.737460 ), f(x)=-1.007323
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.139727,0.712059 ), f(x)=-1.022000
x=(-0.091380,0.688643 ), f(x)=-1.027017
x=(-0.091380,0.688643 ), f(x)=-1.027017
x=(-0.091380,0.688643 ), f(x)=-1.027017
x=(-0.091380,0.688643 ), f(x)=-1.027017
x=(-0.091380,0.688643 ), f(x)=-1.027017
x=(-0.091380,0.688643 ), f(x)=-1.027017
